診療科,DPC包括,入院料,治療食,食事療養,指導料,在宅料,処方,注射,処置,手術,手術薬剤,手術材料,麻酔,輸血,検査,画像,リハ・精神・放治,その他保険外,選定療養,合計,延患者数
循環器内科,"6,113,517","1,693,039","18,930","281,126","58,010","36,405","177,599","326,062","23,906","2,348,874","54,170","8,167,289","70,153","121,683","262,993","29,659","288,815","1,650",0,"20,073,880","1,617"
脳神経内科,"1,541,068","433,834","1,689","71,517","12,765","26,656","29,462","8,578","3,500",0,0,0,0,"2,967","6,581","4,895","77,934",0,0,"2,221,446",402
糖尿病科,"223,976","67,605",698,"12,336","3,610","26,629","6,928","3,359",0,0,0,0,0,0,"2,584","1,225","11,742",0,0,"360,692",72
精神神経科,0,0,0,0,"1,540",0,459,0,0,0,0,0,0,0,0,0,"9,650",0,0,"11,649",0
小児科,"69,388","6,775",0,"1,110",150,0,"2,495",0,0,0,0,0,0,0,0,0,"2,445",0,0,"82,363",15
外科,"4,950,794","1,908,030","3,828","175,609","47,780","6,486","127,407","365,988","3,354","4,385,556","71,190","458,402","1,302,288","180,972","189,554","47,094","216,494",550,0,"14,441,376","1,328"
脳神経外科,"2,645,722","1,025,659","2,040","138,210","31,795","4,737","108,259","1,641","9,736","485,994","14,618","273,335","86,336",0,"22,908","71,636","141,217",550,0,"5,064,393",768
整形外科,"1,978,946","397,176","3,843","118,417","25,446",0,"43,801","1,285","4,060","1,451,910","17,872","960,812","499,328","36,787","7,093","7,004","109,519",144,0,"5,663,443",668
心臓血管外科,"1,401,499","663,745","2,796","43,435","11,440",0,"18,353",160,"124,150","1,591,110","121,273","1,344,970","416,443","235,152","6,480","2,800","39,778",550,0,"6,024,134",244
産婦人科,"499,012","86,977",69,"13,566","9,200",0,"10,915",48,13,"939,703","12,779","105,655","285,129","18,419","28,390",0,"20,242",0,0,"2,030,117",124
皮膚科,"175,711","27,957",0,"7,043","1,090",0,"4,778",0,0,"6,170",46,0,0,0,"10,522",175,"7,341",0,0,"240,833",45
泌尿器科,"899,191","188,769","2,148","36,218","16,315",0,"20,126","287,938",2,"738,748","17,378","121,197","346,227","5,177","47,285","1,680","42,398",0,0,"2,770,797",260
眼科,"1,123,084","192,998","1,459","40,338","18,015",0,"38,918",0,0,"2,287,528","102,153","2,950","15,437",0,785,0,"51,858",0,0,"3,875,523",318
耳鼻咽喉科,"753,336","187,513",86,"31,932","16,360",0,"30,712","2,185",0,"1,587,384","4,812","39,226","310,876",0,"27,470",875,"36,373",0,0,"3,029,140",223
放射線科,0,0,0,0,"6,600",0,0,0,0,0,0,0,0,0,0,"5,239","400,270",0,0,"412,109",0
麻酔科,0,150,0,0,700,0,0,0,0,0,0,0,232,"2,543",0,0,0,0,0,"3,625",0
リハビリテーション科,0,0,0,0,"2,400",0,0,0,0,0,0,0,0,0,0,0,"476,198",0,0,"478,598",0
形成外科,"254,147","53,786",843,"14,900","3,600",0,"6,549",288,"52,394","161,790","1,267","2,065","95,996",0,"4,285",875,"13,529",0,0,"666,314",83
救急診療科,0,863,0,0,"3,000",0,0,23,79,0,0,0,0,"2,967",893,"2,660",281,0,0,"10,766",0
消化器内科,"4,106,387","1,027,631","4,105","125,282","34,085",645,"108,296","58,595","9,277","1,211,880","51,006","489,027",0,"214,332","234,637","21,797","177,699","1,100",770,"7,876,551","1,090"
腎臓内科,"578,412","145,807","2,883","35,267","5,670",0,"29,758","1,680","334,381","20,060",310,"67,080",66,"5,177","13,276","3,495","33,421",550,0,"1,277,293",205
リウマチ膠原病痛風,"784,231","196,804","1,007","31,325","5,885",0,"12,063","1,623",0,0,0,0,0,0,"4,914","5,942","32,944",0,770,"1,077,508",202
呼吸器内科,"2,742,069","685,593","1,935","109,152","21,680","36,613","51,623","395,652","6,419",0,0,0,0,"48,937","36,912","10,375","123,327","2,750",0,"4,273,037",756
緩和ケア外来,0,"57,430",0,0,"2,400",0,"4,827",462,0,0,0,0,0,0,0,0,0,0,0,"65,119",0
合計,"30,840,490","9,048,141","48,359","1,286,783","339,536","138,171","833,328","1,455,567","571,271","17,216,707","468,874","12,032,008","3,428,511","875,113","907,562","217,426","2,313,475","7,844","1,540","82,030,706","8,420"
