診療科,初診料,再診料,指導料,在宅料,処方,注射,処置,手術,手術薬剤,手術材料,麻酔,輸血,検査,画像,リハ・精神・放治,その他保険外,選定療養,合計,延患者数
循環器内科,"37,914","128,374","143,316","424,928","92,753","1,118,323","19,712",350,5,0,"1,042",0,"1,453,746","833,432","3,519","1,093","19,378","4,277,887","2,171"
脳神経内科,"15,112","57,385","97,689","60,185","44,988","2,763,337",218,0,0,0,"61,680","7,464","313,219","358,539","1,694",425,"9,973","3,791,909",946
糖尿病科,"5,927","65,283","19,163","496,890","51,111","24,395",33,0,0,0,0,0,"562,022","24,764","1,537",194,"1,210","1,252,529","1,029"
精神神経科,779,"4,085","1,111",50,"2,853",6,0,0,0,0,0,0,"1,363",195,"23,736",47,0,"34,225",59
小児科,"14,220","24,707","49,929","66,603","15,492","26,639",841,0,0,0,0,0,"170,708","24,012",714,313,"4,941","399,118",361
外科,"16,488","80,481","282,723","16,978","44,123","2,627,481","10,856","47,320",737,1,47,"1,332","708,365","916,307","3,090","1,723","13,273","4,771,326","1,397"
乳癌センター,"4,428",618,"2,322",0,92,"1,215",17,"1,040",4,0,0,0,"38,523","24,632",86,"6,105",128,"79,210",29
脳神経外科,"29,419","42,573","49,624","131,186","20,604","94,750",518,"11,870","15,609",0,"1,181",0,"139,062","717,854","1,829","2,647","25,621","1,284,347",816
整形外科,"61,266","136,237","54,737","288,408","74,901","293,673","39,835","58,906",345,305,"14,336",42,"243,951","807,145","5,836","23,794","55,000","2,158,716","2,173"
心臓血管外科,"4,018","20,856","4,541",150,"6,356","1,417",0,"16,475",166,"1,110",16,"14,544","216,087","155,509",512,485,431,"442,674",377
産婦人科,"13,710","34,168","65,470",165,"10,600","261,260","3,465","3,678",13,48,0,"6,841","331,214","145,990","1,026","1,562","3,254","882,463",557
皮膚科,"28,629","69,324","68,053","1,407,880","53,108","989,883","20,920","13,602",41,0,0,0,"242,728","17,580","2,066","106,055","15,941","3,035,807","1,149"
泌尿器科,"18,420","85,473","95,999","240,442","52,331","627,562","54,317","163,553","7,710","26,041",0,616,"660,684","468,262","2,149",943,"10,670","2,515,171","1,411"
眼科,"37,901","134,233","55,393",79,"76,749","1,372,621",466,"425,799","14,801",98,"2,692",0,"1,033,787","37,876","5,408",930,"8,158","3,206,991","2,006"
耳鼻咽喉科,"34,992","68,005","26,174","978,767","44,390","18,714","6,351","11,977",13,535,0,0,"497,228","220,389","2,099",264,"15,941","1,925,839","1,171"
放射線科,"2,854","6,002","47,148",25,"4,405","49,673",417,0,0,0,0,0,"41,698","155,362","899,104",58,64,"1,206,812",424
麻酔科,787,"3,277","4,073",0,"2,394",0,29,0,0,0,"1,361",0,344,59,89,642,64,"13,119",381
リハビリテーション科,50,"12,953",427,0,218,0,33,0,0,0,"17,112",0,"4,099",346,"76,532",2,0,"111,772",238
形成外科,"9,800","21,391","28,930","1,688","7,647",620,"14,600","85,004",579,"1,277",312,223,"79,272","42,987",817,"3,384","4,629","303,160",352
救急診療科,"24,063","6,246","25,158",258,"3,423","7,345",541,62,1,0,0,0,"100,256","93,734","1,012",130,"37,473","299,702",103
消化器内科,"45,717","89,991","108,478","12,331","35,952","1,466,871","10,632","278,276","12,476",771,0,"3,319","1,239,641","672,348","7,639","1,290","19,663","4,005,395","1,683"
腎臓内科,"4,754","31,948","47,947","180,114","12,995","23,920","412,907",0,0,0,594,"1,526","261,965","41,333",797,5,972,"1,021,778",535
リウマチ膠原病痛風,"6,505","59,311","42,185","3,607,290","46,894","1,270,413",16,0,0,0,0,0,"735,420","102,636","1,410",655,"2,200","5,874,935",949
呼吸器内科,"20,344","48,812","55,470","469,615","36,878","1,330,437","1,326",0,0,0,0,658,"447,932","434,111","1,528","6,572","10,890","2,864,572",923
漢方外来,50,"1,699",21,0,"1,542",0,0,0,0,0,0,0,296,0,36,0,0,"3,643",25
緩和ケア外来,0,315,"2,252",0,552,0,0,0,0,0,0,0,0,0,444,0,0,"3,562",12
合計,"438,148","1,233,749","1,378,333","8,384,032","743,352","14,370,553","598,052","1,117,913","52,501","30,184","100,373","36,565","9,523,609","6,295,399","1,044,707","162,167","259,875","45,769,510","21,277"
